Time,E1,E2,E3
20:47:20,1.0,,3.0
20:47:25,0.0,,2.0
20:47:30,1.0,,1.0
20:47:35,2.0,,2.0
20:47:40,4.0,,3.0
20:47:45,3.0,,5.0
20:47:50,1.0,,4.0
20:47:55,1.0,,3.0
20:48:00,4.0,,2.0
20:48:05,2.0,,3.0
20:48:10,1.0,,9.0
20:48:15,4.0,,10.0
20:48:20,2.0,,10.0
20:48:25,3.0,,12.0
20:48:30,1.0,,7.0
20:48:35,1.0,,9.0
20:48:40,,,
20:48:45,0.0,,10.0
20:48:50,0.0,,5.0
20:48:55,0.0,,2.0
20:49:00,0.0,,2.0
20:49:05,2.0,,0.0
20:49:10,1.0,,3.0
20:49:15,1.0,,1.0
20:49:20,1.0,,1.0
20:49:25,2.0,,1.0
20:49:30,1.0,,2.0
20:49:35,0.0,,2.0
20:49:40,1.0,,4.0
20:49:45,0.0,,2.0
20:49:50,1.0,,6.0
20:49:55,0.0,,7.0
20:50:00,0.0,,2.0
20:50:05,0.0,,5.0
20:50:10,0.0,,5.0
20:50:15,0.0,,1.0
20:50:20,0.0,,0.0
20:50:25,0.0,,0.0
20:50:30,0.0,,0.0
20:50:35,1.0,,0.0
20:50:40,0.0,,0.0
20:50:45,1.0,,0.0
20:50:50,0.0,,1.0
20:50:55,0.0,,1.0
20:51:00,0.0,,2.0
20:51:05,0.0,,6.0
20:51:10,0.0,,7.0
20:51:15,1.0,,9.0
20:51:20,0.0,,9.0
20:51:25,0.0,,12.0
20:51:30,4.0,,8.0
20:51:35,4.0,,5.0
20:51:40,3.0,,3.0
20:51:45,4.0,,5.0
20:51:50,4.0,,5.0
20:51:55,5.0,,4.0
20:52:00,5.0,,2.0
20:52:05,2.0,,3.0
20:52:10,2.0,,1.0
20:52:15,4.0,,2.0
20:52:20,5.0,,2.0
20:52:25,5.0,,5.0
20:52:30,5.0,,4.0
20:52:35,4.0,,3.0
20:52:40,1.0,,4.0
20:52:45,0.0,,1.0
20:52:50,0.0,,1.0
20:52:55,0.0,,1.0
20:53:00,1.0,,4.0
20:53:05,0.0,,1.0
20:53:10,0.0,,3.0
20:53:15,0.0,,2.0
20:53:20,0.0,,3.0
20:53:25,0.0,,1.0
20:53:30,0.0,,1.0
20:53:35,0.0,,1.0
20:53:40,1.0,,2.0
20:53:45,1.0,,1.0
20:53:50,0.0,,3.0
20:53:55,1.0,,3.0
20:54:00,1.0,,3.0
20:54:05,0.0,,1.0
20:54:10,1.0,,3.0
20:54:15,0.0,,4.0
20:54:20,0.0,,3.0
20:54:25,0.0,,3.0
20:54:30,0.0,,3.0
20:54:35,0.0,,3.0
20:54:40,0.0,,12.0
20:54:45,0.0,,14.0
20:54:50,0.0,,9.0
20:54:55,0.0,,11.0
20:55:00,0.0,,10.0
20:55:05,1.0,,7.0
20:55:10,1.0,,9.0
20:55:15,2.0,,3.0
20:55:20,2.0,,3.0
20:55:25,2.0,,0.0
20:55:30,1.0,,0.0
20:55:35,3.0,,0.0
20:55:40,1.0,,1.0
20:55:45,1.0,,1.0
20:55:50,2.0,,4.0
20:55:55,2.0,,6.0
20:56:00,2.0,,4.0
20:56:05,0.0,,2.0
20:56:10,0.0,,8.0
20:56:15,0.0,,5.0
20:56:20,0.0,,2.0
20:56:25,0.0,,2.0
20:56:30,0.0,,1.0
20:56:35,0.0,,2.0
20:56:40,0.0,,4.0
20:56:45,0.0,,0.0
20:56:50,0.0,,0.0
20:56:55,0.0,,0.0
20:57:00,0.0,,0.0
20:57:05,0.0,,3.0
20:57:10,0.0,,2.0
20:57:15,0.0,,3.0
20:57:20,0.0,,1.0
20:57:25,0.0,,1.0
20:57:30,0.0,,2.0
20:57:35,0.0,,5.0
20:57:40,0.0,,5.0
20:57:45,0.0,,8.0
20:57:50,0.0,,11.0
20:57:55,0.0,,9.0
20:58:00,0.0,,10.0
20:58:05,0.0,,7.0
20:58:10,0.0,,9.0
20:58:15,0.0,,8.0
20:58:20,0.0,,8.0
20:58:25,0.0,,9.0
20:58:30,0.0,,5.0
20:58:35,1.0,,4.0
20:58:40,4.0,,3.0
20:58:45,0.0,,0.0
20:58:50,1.0,,0.0
20:58:55,0.0,,1.0
20:59:00,1.0,,0.0
20:59:05,0.0,,0.0
20:59:10,0.0,,3.0
20:59:15,0.0,,2.0
20:59:20,1.0,,1.0
20:59:25,1.0,,4.0
20:59:30,1.0,,5.0
20:59:35,0.0,,6.0
20:59:40,0.0,,5.0
20:59:45,0.0,,1.0
20:59:50,0.0,,1.0
20:59:55,0.0,,2.0
21:00:00,3.0,,1.0
21:00:05,0.0,,1.0
21:00:10,2.0,,1.0
21:00:15,0.0,,4.0
21:00:20,0.0,,1.0
21:00:25,0.0,,4.0
21:00:30,0.0,,3.0
21:00:35,0.0,,8.0
21:00:40,0.0,,7.0
21:00:45,0.0,,7.0
21:00:50,0.0,,9.0
21:00:55,0.0,,6.0
21:01:00,0.0,,7.0
21:01:05,0.0,,7.0
21:01:10,0.0,,4.0
21:01:15,0.0,,6.0
21:01:20,0.0,,6.0
21:01:25,0.0,,1.0
21:01:30,0.0,,0.0
21:01:35,0.0,,0.0
21:01:40,0.0,,0.0
21:01:45,0.0,,0.0
21:01:50,1.0,,1.0
21:01:55,1.0,,0.0
21:02:00,0.0,,0.0
21:02:05,1.0,,1.0
21:02:10,0.0,,3.0
21:02:15,0.0,,2.0
21:02:20,1.0,,5.0
21:02:25,2.0,,2.0
21:02:30,1.0,,6.0
21:02:35,1.0,,4.0
21:02:40,0.0,,4.0
21:02:45,0.0,,4.0
21:02:50,0.0,,2.0
21:02:55,0.0,,3.0
21:03:00,0.0,,2.0
21:03:05,0.0,,2.0
21:03:10,0.0,,2.0
21:03:15,2.0,,6.0
21:03:20,3.0,,1.0
21:03:25,3.0,,1.0
21:03:30,1.0,,2.0
21:03:35,0.0,,4.0
21:03:40,1.0,,8.0
21:03:45,0.0,,9.0
21:03:50,0.0,,8.0
21:03:55,0.0,,7.0
21:04:00,0.0,,10.0
21:04:05,0.0,,10.0
21:04:10,0.0,,10.0
21:04:15,0.0,,10.0
21:04:20,0.0,,7.0
21:04:25,0.0,,4.0
21:04:30,0.0,,5.0
21:04:35,0.0,,2.0
21:04:40,1.0,,2.0
21:04:45,1.0,,0.0
21:04:50,0.0,,0.0
21:04:55,0.0,,0.0
21:05:00,0.0,,1.0
21:05:05,,,
21:05:10,0.0,,2.0
21:05:15,0.0,,6.0
21:05:20,1.0,,5.0
21:05:25,0.0,,5.0
21:05:30,0.0,,4.0
21:05:35,0.0,,6.0
21:05:40,0.0,,4.0
21:05:45,1.0,,0.0
21:05:50,1.0,,0.0
21:05:55,1.0,,2.0
21:06:00,0.0,,0.0
21:06:05,0.0,,2.0
21:06:10,0.0,,2.0
21:06:15,0.0,,3.0
21:06:20,0.0,,6.0
21:06:25,0.0,,2.0
21:06:30,0.0,,2.0
21:06:35,0.0,,5.0
21:06:40,3.0,,12.0
21:06:45,2.0,,10.0
21:06:50,2.0,,9.0
21:06:55,2.0,,13.0
21:07:00,1.0,,10.0
21:07:05,2.0,,11.0
21:07:10,0.0,,7.0
21:07:15,0.0,,10.0
21:07:20,2.0,,4.0
21:07:25,4.0,,0.0
21:07:30,2.0,,1.0
21:07:35,1.0,,5.0
21:07:40,1.0,,2.0
21:07:45,4.0,,2.0
21:07:50,2.0,,3.0
21:07:55,5.0,,2.0
