Time,W1,W2,W3,W4
20:47:20,2.0,3.0,3.0,3.0
20:47:25,3.0,3.0,1.0,1.0
20:47:30,2.0,5.0,0.0,3.0
20:47:35,3.0,5.0,2.0,0.0
20:47:40,3.0,4.0,2.0,3.0
20:47:45,4.0,4.0,4.0,4.0
20:47:50,7.0,4.0,4.0,1.0
20:47:55,4.0,3.0,5.0,5.0
20:48:00,3.0,4.0,1.0,2.0
20:48:05,3.0,1.0,3.0,2.0
20:48:10,2.0,4.0,2.0,3.0
20:48:15,3.0,6.0,2.0,2.0
20:48:20,2.0,5.0,2.0,8.0
20:48:25,3.0,1.0,4.0,5.0
20:48:30,1.0,5.0,2.0,4.0
20:48:35,3.0,0.0,4.0,5.0
20:48:40,,,,
20:48:45,5.0,3.0,3.0,6.0
20:48:50,4.0,3.0,4.0,3.0
20:48:55,4.0,4.0,2.0,4.0
20:49:00,3.0,4.0,1.0,0.0
20:49:05,1.0,1.0,2.0,1.0
20:49:10,2.0,2.0,4.0,2.0
20:49:15,3.0,3.0,1.0,3.0
20:49:20,2.0,5.0,1.0,1.0
20:49:25,0.0,7.0,0.0,1.0
20:49:30,4.0,7.0,2.0,3.0
20:49:35,4.0,6.0,3.0,3.0
20:49:40,6.0,5.0,2.0,4.0
20:49:45,5.0,6.0,1.0,4.0
20:49:50,4.0,2.0,1.0,3.0
20:49:55,5.0,8.0,2.0,5.0
20:50:00,3.0,5.0,1.0,1.0
20:50:05,4.0,3.0,1.0,5.0
20:50:10,3.0,4.0,2.0,6.0
20:50:15,5.0,3.0,3.0,6.0
20:50:20,5.0,1.0,4.0,1.0
20:50:25,3.0,5.0,2.0,2.0
20:50:30,3.0,2.0,6.0,2.0
20:50:35,1.0,3.0,2.0,2.0
20:50:40,3.0,3.0,5.0,4.0
20:50:45,5.0,6.0,3.0,3.0
20:50:50,1.0,4.0,3.0,3.0
20:50:55,4.0,1.0,3.0,1.0
20:51:00,4.0,1.0,3.0,5.0
20:51:05,3.0,1.0,2.0,2.0
20:51:10,3.0,0.0,3.0,3.0
20:51:15,1.0,0.0,3.0,3.0
20:51:20,0.0,0.0,3.0,0.0
20:51:25,0.0,1.0,3.0,5.0
20:51:30,0.0,2.0,4.0,5.0
20:51:35,0.0,1.0,4.0,2.0
20:51:40,0.0,1.0,4.0,1.0
20:51:45,3.0,4.0,1.0,2.0
20:51:50,0.0,4.0,2.0,3.0
20:51:55,2.0,4.0,5.0,2.0
20:52:00,4.0,7.0,2.0,4.0
20:52:05,4.0,4.0,4.0,1.0
20:52:10,4.0,4.0,1.0,1.0
20:52:15,5.0,5.0,1.0,1.0
20:52:20,4.0,4.0,1.0,1.0
20:52:25,7.0,5.0,1.0,3.0
20:52:30,4.0,4.0,2.0,3.0
20:52:35,3.0,3.0,2.0,5.0
20:52:40,3.0,1.0,2.0,3.0
20:52:45,1.0,5.0,0.0,3.0
20:52:50,3.0,4.0,2.0,4.0
20:52:55,3.0,4.0,4.0,3.0
20:53:00,1.0,5.0,1.0,1.0
20:53:05,0.0,3.0,3.0,3.0
20:53:10,5.0,8.0,0.0,2.0
20:53:15,6.0,3.0,1.0,6.0
20:53:20,3.0,1.0,3.0,3.0
20:53:25,3.0,4.0,3.0,3.0
20:53:30,4.0,4.0,3.0,2.0
20:53:35,2.0,1.0,2.0,1.0
20:53:40,3.0,2.0,2.0,5.0
20:53:45,0.0,4.0,6.0,4.0
20:53:50,3.0,3.0,2.0,5.0
20:53:55,2.0,3.0,3.0,2.0
20:54:00,5.0,3.0,3.0,2.0
20:54:05,3.0,3.0,1.0,3.0
20:54:10,1.0,4.0,3.0,1.0
20:54:15,2.0,4.0,1.0,1.0
20:54:20,2.0,1.0,3.0,2.0
20:54:25,3.0,1.0,5.0,4.0
20:54:30,3.0,0.0,4.0,5.0
20:54:35,4.0,3.0,3.0,3.0
20:54:40,1.0,1.0,1.0,3.0
20:54:45,1.0,5.0,4.0,2.0
20:54:50,2.0,1.0,5.0,2.0
20:54:55,2.0,6.0,0.0,4.0
20:55:00,2.0,2.0,2.0,6.0
20:55:05,5.0,4.0,2.0,4.0
20:55:10,1.0,2.0,5.0,4.0
20:55:15,6.0,2.0,3.0,2.0
20:55:20,3.0,3.0,0.0,2.0
20:55:25,3.0,6.0,0.0,4.0
20:55:30,2.0,4.0,3.0,1.0
20:55:35,4.0,3.0,1.0,1.0
20:55:40,3.0,3.0,1.0,4.0
20:55:45,5.0,5.0,7.0,5.0
20:55:50,3.0,1.0,3.0,6.0
20:55:55,3.0,2.0,4.0,4.0
20:56:00,3.0,7.0,5.0,2.0
20:56:05,1.0,3.0,2.0,4.0
20:56:10,2.0,5.0,2.0,3.0
20:56:15,6.0,5.0,1.0,3.0
20:56:20,4.0,6.0,3.0,1.0
20:56:25,2.0,2.0,5.0,4.0
20:56:30,1.0,6.0,4.0,1.0
20:56:35,4.0,2.0,2.0,1.0
20:56:40,7.0,5.0,4.0,3.0
20:56:45,3.0,2.0,4.0,3.0
20:56:50,4.0,2.0,2.0,1.0
20:56:55,3.0,2.0,2.0,1.0
20:57:00,4.0,2.0,0.0,4.0
20:57:05,2.0,3.0,2.0,4.0
20:57:10,0.0,5.0,3.0,2.0
20:57:15,2.0,5.0,3.0,4.0
20:57:20,3.0,1.0,3.0,7.0
20:57:25,3.0,5.0,3.0,5.0
20:57:30,6.0,4.0,4.0,3.0
20:57:35,5.0,2.0,0.0,4.0
20:57:40,5.0,5.0,3.0,3.0
20:57:45,1.0,4.0,3.0,2.0
20:57:50,0.0,1.0,3.0,1.0
20:57:55,2.0,4.0,3.0,2.0
20:58:00,7.0,3.0,5.0,4.0
20:58:05,3.0,3.0,0.0,2.0
20:58:10,4.0,3.0,5.0,4.0
20:58:15,5.0,4.0,4.0,1.0
20:58:20,2.0,1.0,1.0,5.0
20:58:25,4.0,4.0,1.0,3.0
20:58:30,1.0,2.0,4.0,1.0
20:58:35,4.0,2.0,2.0,4.0
20:58:40,2.0,5.0,2.0,2.0
20:58:45,2.0,5.0,5.0,6.0
20:58:50,2.0,3.0,2.0,5.0
20:58:55,4.0,0.0,2.0,5.0
20:59:00,2.0,6.0,2.0,3.0
20:59:05,3.0,2.0,2.0,5.0
